[33, 111]
[132, 95]
[182, 14]
[24, 110]
[123, 20]
[155, 273]
[142, 158]
[56, 113]
[190, 132]
[119, 123]
[130, 80]
[160, 112]
[118, 147]
[49, 138]
[96, 288]
[36, 237]
[175, 15]
[131, 122]
[187, 113]
[79, 70]
[112, 196]
[26, 204]
[135, 69]
[93, 169]
[147, 130]
[163, 20]
[114, 263]
[139, 254]
[193, 51]
[91, 243]
[70, 234]
[46, 131]
[161, 252]
[191, 68]
[178, 49]
[10, 228]
[13, 165]
[119, 164]
[26, 234]
[134, 18]
[114, 213]
[126, 148]
[110, 147]
[156, 313]
[28, 158]
[189, 81]
[102, 66]
[214, 26]
[133, 137]
[163, 265]
[144, 22]
[163, 152]
[115, 270]
[197, 162]
[74, 97]
[169, 22]
[115, 272]
[168, 220]
[110, 117]
[177, 296]
[176, 240]
[203, 126]
[150, 119]
[92, 111]
[106, 85]
[56, 227]
[172, 176]
[132, 144]
[213, 20]
[137, 318]
[110, 225]
[156, 96]
[136, 252]
[39, 196]
[138, 198]
[138, 205]
[176, 277]
[61, 187]
[164, 322]
[102, 84]
[117, 185]
[165, 50]
[177, 252]
[159, 221]
[116, 114]
[126, 148]
[142, 41]
[122, 226]
[185, 191]
[54, 140]
[182, 270]
[159, 325]
[108, 120]
[180, 47]
[60, 198]
[179, 222]
[137, 221]
[81, 145]
[132, 144]
[99, 137]
[71, 127]
[76, 140]
[186, 174]
[162, 173]
[193, 160]
[139, 77]
[186, 291]
[184, 295]
[141, 147]
[62, 180]
[202, 47]
[141, 161]
[35, 204]
[102, 145]
[121, 244]
[124, 212]
[155, 323]
[179, 14]
[185, 47]
[188, 23]
[131, 280]
[172, 16]
[112, 67]
[193, 175]
[164, 324]
[15, 237]
[196, 54]
[156, 249]
[66, 148]
[24, 81]
[184, 129]
[122, 36]
[199, 17]
[86, 173]
[177, 234]
[149, 93]
[157, 81]
[165, 293]
[59, 243]
[11, 197]
[62, 184]
[68, 179]
[200, 120]
[181, 67]
[104, 190]
[35, 74]
[14, 189]
[110, 276]
[20, 97]
[102, 130]
[71, 235]
[169, 237]
[177, 211]
[28, 127]
[84, 145]
[138, 235]
[173, 193]
[44, 174]
[149, 26]
[78, 145]
[19, 185]
[23, 66]
[187, 322]
[29, 94]
[70, 164]
[120, 239]
[174, 89]
[144, 38]
[42, 174]
[61, 193]
[127, 148]
[45, 236]
[124, 12]
[189, 54]
[13, 166]
[158, 240]
[138, 142]
[199, 155]
[48, 136]
[113, 187]
[145, 221]
[151, 234]
[168, 32]
[139, 220]
[70, 162]
[38, 71]
[155, 241]
[104, 89]
[122, 73]
[53, 68]
[98, 265]
[138, 212]
[186, 115]
[154, 98]
[29, 204]
[131, 263]
[118, 121]
[193, 33]
[139, 210]
[167, 159]
[120, 161]
[20, 157]
[162, 21]
[56, 141]
[141, 10]
[121, 78]
[19, 123]
[105, 264]
[171, 216]
[184, 252]
[22, 106]
[132, 19]
[124, 36]
[186, 323]
[168, 282]
[167, 116]
[180, 67]
[204, 126]
[45, 236]
[202, 156]
[194, 63]
[156, 325]
[134, 69]
[194, 63]
[201, 131]
[217, 19]
[120, 147]
[139, 195]
[185, 182]
[120, 197]
[37, 218]
[139, 319]
[99, 290]
[187, 292]
[199, 160]
[136, 105]
[182, 189]
[183, 88]
[159, 91]
[124, 181]
[160, 290]
[86, 79]
[109, 171]
[161, 206]
[28, 185]
[199, 161]
[113, 83]
[22, 234]
[119, 132]
[153, 127]
[101, 263]
[110, 268]
[118, 264]
[180, 285]
[131, 322]
[147, 185]
[36, 187]
[45, 76]
[106, 83]
[107, 84]
[87, 220]
[43, 224]
[171, 216]
[113, 296]
[116, 114]
[206, 70]
[143, 226]
[31, 161]
[156, 90]
[22, 154]
[11, 218]
[99, 237]
[86, 169]
[139, 276]
[137, 166]
[126, 162]
[210, 34]
[171, 93]
[56, 142]
[194, 100]
[84, 78]
[165, 61]
[199, 161]
[188, 124]
[188, 49]
[127, 117]
[124, 14]
[121, 167]
[103, 146]
[114, 116]
[181, 190]
[148, 183]
[143, 54]
[51, 112]
[156, 251]
[12, 234]
[97, 144]
[154, 120]
[167, 37]
[123, 20]
[113, 238]
[75, 66]
[202, 17]
[53, 132]
[129, 137]
[114, 121]
[163, 79]
[150, 87]
[55, 99]
[53, 125]
[78, 220]
[134, 252]
[11, 234]
[90, 125]
[136, 10]
[145, 100]
[216, 27]
[137, 303]
[60, 198]
[193, 162]
[107, 103]
[26, 62]
[106, 85]
[32, 204]
[171, 14]
[139, 194]
[30, 226]
[168, 234]
[32, 110]
[87, 193]
[57, 96]
[205, 82]
[161, 295]
[153, 235]
[91, 211]
[135, 298]
[144, 10]
[46, 235]
[158, 219]
[131, 321]
[171, 96]
[146, 208]
[182, 15]
[190, 193]
[78, 111]
[43, 225]
[87, 180]
[155, 273]
[187, 293]
[24, 110]
[193, 186]
[99, 170]
[146, 209]
[83, 145]
[75, 66]
[13, 163]
[114, 123]
[189, 213]
[139, 272]
[207, 16]
[124, 222]
[82, 108]
[43, 189]
[105, 205]
[117, 136]
[41, 124]
[206, 84]
[188, 81]
[137, 91]
[127, 112]
[131, 91]
[196, 19]
[123, 165]
[49, 143]
[213, 51]
[193, 162]
[199, 28]
[61, 190]
[124, 128]
[171, 18]
[161, 289]
[161, 265]
[153, 137]
[179, 81]
[135, 235]
[81, 187]
[31, 132]
[71, 100]
[68, 117]
[108, 126]
[102, 135]
[137, 81]
[56, 230]
[199, 69]
[67, 113]
[137, 238]
[161, 110]
[139, 317]
[86, 124]
[145, 214]
[34, 111]
[113, 144]
[143, 196]
[165, 175]
[124, 17]
[158, 311]
[172, 98]
[46, 164]
[22, 95]
[55, 109]
[203, 101]
[107, 130]
[143, 49]
[67, 185]
[123, 55]
[115, 120]
[128, 174]
[131, 295]
[158, 222]
[175, 325]
[182, 85]
[27, 195]
[107, 293]
[186, 193]
[204, 82]
[114, 244]
[70, 113]
[9, 232]
[148, 182]
[179, 161]
[48, 193]
[74, 139]
[141, 178]
[22, 81]
[174, 278]
[120, 54]
[45, 112]
[41, 218]
[187, 161]
[53, 68]
[43, 228]
[48, 159]
[86, 242]
[128, 174]
[217, 20]
[113, 296]
[187, 100]
[101, 93]
[105, 131]
[102, 66]
[122, 135]
[155, 234]
[38, 128]
[191, 33]
[149, 99]
[162, 16]
[136, 268]
[85, 206]
[210, 70]
[170, 326]
[179, 326]
[100, 263]
[137, 242]
[180, 204]
[180, 130]
[21, 94]
[82, 196]
[35, 142]
[131, 287]
[117, 196]
[172, 98]
[159, 26]
[169, 265]
[91, 173]
[108, 226]
[184, 284]
[17, 133]
[97, 146]
[94, 97]
[163, 67]
[105, 170]
[25, 61]
[159, 306]
[189, 61]
[111, 131]
[178, 55]
[167, 130]
[165, 248]
[103, 170]
[155, 290]
[42, 219]
[199, 34]
[163, 161]
[138, 74]
[65, 151]
[185, 318]
[96, 270]
[131, 69]
[71, 98]
[141, 57]
[169, 242]
[139, 295]
[160, 250]
[112, 123]
[103, 127]
[164, 290]
[211, 65]
[50, 161]
[168, 237]
[72, 148]
[114, 199]
[48, 194]
[43, 174]
[213, 17]
[103, 244]
[20, 109]
[127, 14]
[158, 217]
[118, 93]
[66, 159]
[160, 191]
[186, 27]
[181, 44]
[124, 215]
[24, 67]
[74, 223]
[90, 66]
[143, 10]
[120, 54]
[10, 230]
[82, 181]
[156, 59]
[208, 67]
[154, 123]
[90, 84]
[167, 19]
[140, 236]
[171, 298]
[62, 171]
[173, 177]
[105, 146]
[94, 242]
[57, 238]
[131, 54]
[57, 106]
[24, 172]
[170, 175]
[42, 65]
[49, 156]
[166, 187]
[167, 204]
[155, 115]
[58, 215]
[63, 244]
[186, 152]
[82, 193]
[206, 32]
[137, 322]
[207, 85]
[126, 191]
[47, 111]
[79, 199]
[159, 208]
[99, 205]
[161, 53]
[154, 39]
[102, 220]
[97, 263]
[153, 71]
[18, 218]
[194, 92]
[41, 204]
[61, 189]
[129, 46]
[27, 97]
[217, 22]
[215, 17]
[23, 72]
[144, 166]
[196, 119]
[176, 220]
[31, 229]
[115, 119]
[184, 326]
[89, 178]
[113, 136]
[12, 190]
[145, 129]
[44, 124]
[202, 155]
[149, 151]
[141, 82]
[75, 122]
[75, 114]
[165, 62]
[195, 28]
[151, 153]
[86, 219]
[58, 112]
[139, 281]
[171, 97]
[111, 266]
[79, 99]
[155, 300]
[59, 243]
[102, 119]
[105, 237]
[132, 264]
[138, 195]
[102, 127]
[162, 234]
[60, 225]
[201, 51]
[136, 137]
